User Name,Annotation,comment_Text,Multi,Score,Reply Content,Unnamed: 6
Madeleen Bester,Non_Functional,"I use the app daily, but I wish they would make the UX better across device. The app on our Apple TV is way different. A fraction of the content and no way to search. We have to cast from our phones to the TV to meditate together each morning.",Usability,3,,
Sandi C,Non_Functional,"I purchased this with a deal from American Express. I didn't like it and never used it and pretty much forgot about it. Then I got billed full price for another year subscription. I contacted them immediately and fortunately they canceled the additional charges so even though I didn't care for the app, I was happy with the refund.",Usability,3,,
Andrew Mitchell,Non_Functional,"Not enough free options. If there have to be advertisements, so be it, but I don't want to have to do a 7 day free trial, and then pay more than I already do (counselor, medication) for my mental health recovery. I'd be honored if the helpful meditations, stories, series, podcasts, documentaries, etc., were free (with ads if needs be, or a low annual fee), or as close to free as possible, and my cost could be reduced or eliminated by recruiting new members, or new contributors for teaching.",Usability,3,,
Error 404,Non_Functional,"I like calm, I like listening to the sleep stories to help me sleep but recently I've noticed that the audio is crackling and is disrupting my relaxation. I thought it was my speakers at first but it's not, it's only on this app so I'd like it if that would be fixed considering how much I pay for this",Performance,3,,
Karon Strozier Massiah (Seven Karat),Non_Functional,It wasn't what I thought and I'm having a very hard time canceling. I do not want this and I DO NOT WANT MY CARD CHARGED either. But for some reason you ppl are making it difficult for me to cancel. It would be nice if I could get some help with canceling this subscription.,Usability,3,,
Lea Anna Halfmann,Non_Functional,I wasn't really ready to begin and I should have stopped or paused the program until I was in my comfortable chair and more ready to begin!,Usability,3,,
Anelle Gers,Non_Functional,"Good Day, I want to purchase the calm premium subscription but it's not allowing me to do so in the app. Please assist me with purchasing the subscription.",Usability,3,,
A Google user,Non_Functional,"I've been enjoying and exploring the free parts of the app, but I wish the free sub trial was longer than 7 days as I don'y feel that would give you a solid idea of its usefulness to you before investing in the anual fee. Or i would prefer a monthly subscription option for ""cheaper"" so that you were less obligated to use it for a full year to make the 50-60 annual fee worth while.",Usability,4,,
Erin Taylor,Non_Functional,This app would be 5 â,Usability,4,,
DAJA,Non_Functional,I get to sleep listening to Tamaras voice at this point. Wish we could have the choice of who the narrator is for each exercise. There is a different lady that I don't like her voice and it is a bit annoying so I can't do those exercises. The app is also a bit to expensive. Might check out other apps once my 1 yr is up.,Usability,4,,
A Google user,Non_Functional,"I actually LOVE this app. I just wish there wasn't a steep yearly subscription fee. $20.00 per year is good. Or even just a one time fee. $60.00? I don't really know if it is worth it (for me). I understand the time and manpower that goes into this app. It actually shows. However, for me $60.00 is a little too much for an app that I would only use to wind down once a week. However, if you have the $$$, I say go for it! The options and add ons are great!",Usability,4,,
Fred K,Non_Functional,"figuring out subscriptions is the worst experience I have had, would that rate that a one, but the app itself... might end up being life-changing. only listend to a few things so far on the app and it's an amazing experience. please though @ calm, make your subscriptions easier to manage and change. That's the only reason this isn't 5 stars.",Usability,4,,
Josh Kearns,Non_Functional,Perspective is everything and Gotta be trusting to be trustworthy ðŸ˜,Performance,4,,
TylerBlox Official,Non_Functional,"This is a good app. Except for one thing. Premium. I don't like it. I can't find anything good without premium. ðŸ˜• Everything is just a lock, standing for premium. Almost everything is locked unless you buy premiumðŸ¤‘. So buy premium. It's only a few bucks. :)",Performance,4,,
Donald Ehizode,Non_Functional,"it's very relaxing ðŸ˜Œ and good for reducing stress, worries and many more. It has no ads disturbance which is impressive, just you and yourself",Performance,4,,
A Google user,Non_Functional,"This app is so helpful. It helps me deal with anxiety, helps me sleep, helps me build self-esteem, helps me to use breathing techniques in stressful situations... it's been a lifesaver, almost literally. They constantly add new content, including celebrity voices and interesting topics from other cultures. Well worth the cost of the subscription.",Performance,5,,
A Google user,Non_Functional,"The simple fact that I received an email before the end of my trial reminding me that I will be charged if I don't cancel, along with instructions about how to cancel, makes this the absolutely most costumer friendly app I have ever used. The bedtime stories have helped me fall sleep faster than ever, and the stories usually focus on sensory experiences that whisk me right to dream land. The cost is high, though, and I'm going to see how my sleep is impacted without the app before buying.",Performance,5,,
A Google user,Non_Functional,so far so good. I love the many different features. very helpful to me. the only downfall is the price. I just got back to work and cannot afford a $60 payment at this time. if you had it where it was a monthly payment id definitely do it. Maybe someday I'll be able to afford it. should really do monthly bc after reading reviews that seems to be one of the biggest hang ups. update: thank you making it where we can pay monthly,Usability,5,,
Tianna Johnson,Non_Functional,I love this app!! My mind does not stop at times and it helps me limit the random thoughts tremendously!! The daily calm is great for any time of day and I'm just now exploring the sleep stories and tools. I slept like a baby ðŸ¤£ Can't wait to discover what else Calm can do! There's so much there! $40 a year gives you some peace of mind and great sleep among other things. Checking out the Wisdom tab next! I am very pleased with my purchase and what Calm offers. And this is not sponsored! ðŸ˜Š,Performance,5,,
Diane Clifford,Non_Functional,Edit on 10/23/23 Having issues today and getting customer service is arduous to say the least. They emailed me. I responded and an hour has gone by with no response from them. Very frustrating. This kind of customer service is no appropriate. I had to uninstall the app. I reinstalled and it lost all my info. Not even realizing I'm a premium member. All of their fixes don't work! At this point I just want my money back. I'm over it.,Reliability,1,,
Phil Johnson,Non_Functional,"I used to love this app and recommend it. In the last 3 weeks the pop up ads have gotten so frequent I can't stand it anymore. On top of that, the ads have become videos that you CANNOT stop and close. That was it for me. I understand the ad supported model, but it's now crossed the line to be so annoying I am moving to a competitor. Edit - the auto-bot reply was how to pay to stop the ads. It's clear they do not value the customer experience unless you pay. Too bad.",Usability,1,Thanks for your comment. We have 2 options for removing 3rd party ads. (1) Purchase a Premium subscription for $40 USD (annually) through Profile > Manage (iOS) or Account (Android) > Upgrade to Premium. (2) Purchase an ad-free subscription for $10 USD (one time). Learn more: Profile > Manage (iOS) or Account (Android) > Eliminate Ads.,
A Google user,Non_Functional,"Loved the free app until this last update. Now it is the most annoying thing I've ever experienced. When adding food, it show a screen that says ""Are you done adding to this meal? Tap DONE to save your meal or add more food by tapping SEARCH."". This comes up after every entry. You have to tap the screen each time this screen shows and then have to tap again to go to wherever you want to go.",Reliability,1,,
D,Non_Functional,"Way too many ads now. VERY EXCESSIVE. Each item I log in, has an ad right after. These ads are not just pop ups that you can exit out of, they're full commercials. I've just been closing the app each time an ad comes. I used this app for over a year and was able to lose 100lbs. Time to find an ad-free app. Such a shame.",Usability,1,,
J. Clark,Non_Functional,"If your expecting customer service DO NOT USE THIS APP. I used it every day with my cousin who lives in another state. Recently we were unable to access each other's logs, kept getting an error message. I uninstalled the app, then reinstalled it, but unfortunately forgot my password. I have tried to contact this developer for 2 days via two different ways, requesting an email on how to change my password, which I've never received as well as sending a message through the Play Store.",Performance,1,"So sorry for the trouble here. We expect this to be working normally now. Please update your app to the latest version, and if you are still experiencing any issues, contact us at reviews@loseit.zendesk.com.",
gvfb60,Non_Functional,"Have the paid version, every time I scan a barcode, the app freezes. I have to force close it and restart. I only can find and enter foods if I manually search for them. I have deleted and reinstalled the app but still it does this. Kinda bs that this happens when it is a primary feature of the app. If it gets fixed/resolved, I'll change my rating.",Reliability,1,We apologize for the trouble you've encountered. Please reach out to us at reviews@loseit.zendesk.com so we can assist you further.,
Jason Smith,Non_Functional,"I loved this app and used it for a few years, until they started with the obnoxious full screen audio and video ads. Horrible decision! I have used many other ad supported apps and it is possible to include ads in a less obnoxious way. Very disappointing, forcing me to look for an alternative.",Usability,1,,
Christine Brand,Non_Functional,I have been using MFP for years. Someone suggested LoseIt for a different experience. Sadly the app doesn't link to Samsung or Apple to help track your steps or exercise. The only link was Fitbit. That's a huge deterrent for me. You really need to get that fixed. Especially considering that there are so many Samsung and Apple watches out there now. I'm so glad I hadn't paid for premium yet.,Usability,1,Thank you for taking the time to let us know what you'd like to see us do to make the Lose It! experience better!,
Y Bush,Non_Functional,"Awful customer service!!!! I signed up for Premium subscription February of 2022 when I got a pop-up with this offer. One year later, I no longer have it. I reached out (nightmare trying to get in touch with someone) and was informed I canceled it which I didn't, and they offered me new Premium subscription at double the price!!!! Keep an eye on your Premium subscription!!! Keep record of everything!",Usability,1,,
Jovanny Gonzalez,Non_Functional,I've been getting scam ads that can't be closed without restarting the app. Most of these ads want the end user to download a foreign app posing as Amazon Prime or ask to click the button to update your Android device. Beware installing the app in the ads as they may be malware.,Usability,1,,
Patrick Shurina,Non_Functional,"You did it again... why on earth would you make a STANDARD FEATURE into a PREMIUM FEATURE?! You really think you're gonna get more out of us? I Bought your premium for the perks it came with, downloaded for the scanner, now... no more money for you... I was gonna be a life long customer, but you pinny pinching freaks just had to do a money grab... now I have no reason to recommend this to anyone... bring it back and I'll change my mind. Stay this way and be replaced.",Performance,1,,
Cregory B.,Non_Functional,I just signed up for this app for 7-day trial they took the money up front before the trial was even started I canceled it and couldn't get my money back. Whatever you do don't use this app it is a rip off. They will take your money and not refund it. I can't believe it I use this app a long time ago and it was pretty good but now they're ripping off people for their money. I will never use this app again how can you take the money before the trial ends. canceled and still didn't get my refund,Accuracy,1,,
J l,Non_Functional,"Look I get it you need ad revenue to keep the app alive, but seriously? Showing Dairy Queen, Burger King ads on a diet helping app. That's just peak irony.",Usability,1,,
Diane Clifford,Non_Functional,Edit on 10/23/23 Having issues today and getting customer service is arduous to say the least. They emailed me. I responded and an hour has gone by with no response from them. Very frustrating. This kind of customer service is no appropriate. I had to uninstall the app. I reinstalled and it lost all my info. Not even realizing I'm a premium member. All of their fixes don't work! At this point I just want my money back. I'm over it.,Reliability,1,,
Colin Carman,Non_Functional,"7 day ""trial"" starts after you are charged? Went for a refund and the form you need to fill out wont let you complete it. Seemed shiesty and scammy.",Accuracy,1,,
Nate,Non_Functional,"It says free, but it's only a trial. Very misleading product advertisement... says free with in-app purchases, ok what app doesn't these days. I open the app and hit with a 5 day free trial, and then you pay a subscription fee. So... it's not free it's a monthly subscription with a 5 day free trial...SCAM!!!",Performance,1,,
kurtis pecot,Non_Functional,"Once you pay for the app it stops working. They won't issue a refund and it won't sync up ANY of my fitness apps. Customer service is AI or an unresponsive person. Either way, waste of 40 bucks.",Accuracy,1,,
Petra Margolis (Ascended Masters World),Non_Functional,I was going to buy for One year but had to do it on my android instead of my iPhone. It's 19.99 on my android. But 9.99 on my iPhone. Sorry I am not buying will look for another app,Usability,1,,
Jovanny Gonzalez,Non_Functional,I've been getting scam ads that can't be closed without restarting the app. Most of these ads want the end user to download a foreign app posing as Amazon Prime or ask to click the button to update your Android device. Beware installing the app in the ads as they may be malware.,Accuracy,1,,
Cregory B.,Non_Functional,I just signed up for this app for 7-day trial they took the money up front before the trial was even started I canceled it and couldn't get my money back. Whatever you do don't use this app it is a rip off. They will take your money and not refund it. I can't believe it I use this app a long time ago and it was pretty good but now they're ripping off people for their money. I will never use this app again how can you take the money before the trial ends. canceled and still didn't get my refund,Reliability,1,,
Oskar Nordstrom,Non_Functional,Apparently resetting the password after getting a new phone causes continuous server errors when you try to log in and there is no way to get back in the app.,Performance,1,,
Michael Reid,Non_Functional,Up until 2 weeks ago it was working fine. The app keeps twitching and worst of all when I click add food it won't work. I don't think ill be renewing my subscription this year.,Usability,1,,
Jacquelyn Lucas,Non_Functional,"I have attempted to put in a request for a refund through the app, it says a reason for requesting the refund is required but won't let me select anything to put the information in. I simply just want my refund, and the date it is to be charge to 10/6. I was under the impression it was monthly and was sorely mistaken.",Accuracy,1,,
Heidi Zanotti,Non_Functional,"It's not free, not ads only. It's only a 7 day trial then $39 a year. Bad description. Could have been good but 7 days is not long enough to evaluate.",Usability,1,,
Jocelyn Navarro,Non_Functional,I'm trying to cancel the subscription and it says I need to cancel through Google play. I cannot find the subscription anywhere any Google play. I should be able to cancel directly lose it's app or website.,Accuracy,1,,
Rob LeCheminant,Non_Functional,"I never once saw anything about the app being a trial. I got a notification that I paid $42 bucks for this. I'm furious. I NEVER agreed to this and of course their refund policy says no refunds. Why? Probably because this happens all the time, I would guess. Nice functionality but be up front about costs and trials. It wasn't clear to me. I won't be coming back to this one, that's for sure.",Reliability,1,,
Skyfire023,Non_Functional,I would give it 5 stars if it synced with Samsung health. Since it doesn't sync with Samsung it doesn't seem that good for anyone who has a galaxy watch.,Reliability,1,,
Tiffany Davis,Non_Functional,I've been using this app for years but today it logged me out and won't let me log back in. I keep receiving an error message.,Performance,1,,
Shawn Furniss,Non_Functional,"It works alright the first year using it I went from 290 to 190 in a year. However, the ads are insufferably obnoxious and ultimately counterproductive to what they are selling. It also makes the app a chore to use. You get an ad practically everytime you go to the main screen and lately it's been running extremely slowly at unpredictable times but an ad drops right away so I'm inclined to blame that. I would give this app 5 stars for the success that i have had with it, but the ads let it down.",Performance,2,,
Aaron Sutton,Non_Functional,"Your app is driving me mad! I know it's free, but it's freezing EVERY single time I scan something. It's so bad I have to keep info open to force close and open every single time I scan. It even freezes up my phone briefly. I'm probably gonna switch to another app very soon. Samsung Galaxy S9, Snapdragon 845. This is still a pretty powerful processor.",Usability,2,,
Esuerc Voltimand,Non_Functional,"Intrusive ads that take up the whole screen when you try to put in a meal? I close the app and come back. I don't mind the small ads in-between segments that take up only a fraction of the screen, but since the newest update, the fullscreen ads are too much. I've been using this app since 2018, and it's definitely put a sour taste in my mouth how hard you're pushing for people to pay for the service. No thanks.",Performance,2,,
Sean McKenna,Non_Functional,"I used to love this application because of it's fair premium price subscription compared to competitors and it's simple, utilitarian vibe. It honestly helped me lose 70 pounds. But lately it has been crashing on the most important of functions - adding a food. So disappointing that if this isn't fixed, I'm going to have to move to another service. In it's current buggy state, I would not recommend.",Reliability,2,We apologize for the trouble you've encountered. Please reach out to us at reviews@loseit.zendesk.com so we can assist you further.,
Patricia Barnes,Non_Functional,"Used happily and successfully for many years. Didn't mind the ads until lately, they are now beyond intrusive, they hinder use of the app. Sadly deleted the app and am here shopping for an alternative. Yes, I tried the paid version for a year and did not need the features and can't justify the cost in my budget. Hoping to find an app that plays nice with Samsung.",Usability,2,Thanks for your comment. We have 2 options for removing 3rd party ads. (1) Purchase a Premium subscription for $40 USD (annually) through Profile > Manage (iOS) or Account (Android) > Upgrade to Premium. (2) Purchase an ad-free subscription for $10 USD (one time). Learn more: Profile > Manage (iOS) or Account (Android) > Eliminate Ads.,
A Google user,Non_Functional,I've used this app for years and I really like the usability and interface. It always allowed you to connect your fitness tracker to it to keep track of calories burned. Now all of a sudden you need to have a premium subscription to connect your tracker. Really disappointed and will probably use a different app now that has kept that as a free feature. Shame.,Usability,2,,
Preston Bowman,Non_Functional,"I really wanted to love this app. It's beautifully designed, but to get to micronutrients you have to be premium. Ok. But then when you use the barcode scanner and the only data you get is calories, it's a little disconcerting. The database does have a verified filter, which is good, but there are a lot of discrepancies even when you use that. I guess it's back to MyFitnessPal for me.",Accuracy,2,,
Kurtis Davidson,Non_Functional,"I've been using this app an extensive amount of time (6 years) and have found it very useful and easy to log both food and exercises. Recently, pop up ads had been introduced and are extremely intrusive. When adding an item an ad will pop up and only some of the ads are skipable. I completely get that it's in a businesses best interest to monetize but the number of pop ads have made it harder to justify the use of this app. Editing nutrition of an item after scanning it is also broken now.",Performance,2,"We're sorry for the trouble you've encountered! Please reach out to us via loseit.live/help so we can further assist you.

Best",
Julia Pierce,Non_Functional,"I have used this app for awhile now, it is mediocre at best. The most frustrating thing for me is that if I create an exercise it doesn't stay at the calories I originally input. I know they change because when I create an exercise I input the calories burnt in the title. For some exercises I created awhile back the variance is as high as 10 calories. All together I have noticed subliminal changes that, in my opinion, are done to try and get the user to invest in prime membership.",Accuracy,2,,
A Google user,Non_Functional,Not your best choice for counting calories Entering data is easy and intuitive but trying to analyze the data is tedious. Their support articles do a terrible job of explaining how to do something. If you are serious about tracking your macros and understanding which food specifically got you there at the end of the day you'll want a different app.,Performance,2,,
A Google user,Non_Functional,"It looks OK overall, but the foods are usually not listed in grams, which is too annoying. When counting calories, it's easiest to throw the food on a scale and then calculate based on that, rather than trying to figure out tbsp or whatever. Almost every label lists servings in grams, so it should be in the database. Also, the app doesn't seem to let you define a manual calorie target.",Usability,2,,
Hope Duncan,Non_Functional,"Had this exact app years ago. it has changed. I will be looking for a different one. It seems like the just try to make it more and more complex and it doesn't need to be that way, and that's just the free version. there's just more piled on with the paid version. I need to simply record my meald for calorie counting, be able to change things to what I want rather someone else finds my goals unreasonable, that's not for you to decide. and then record my weight. The other things aren't needed.",Performance,2,,
Grace McCarthy,Non_Functional,"I LOVED this app - I've had it for over 11 years and it helped me stay focused and lose weight for my wedding and after kids. HOWEVER, it is now PUSHING their paid upgrade in your face all over the place. It's when you open the app, all over your logging screen. It's distracting enough that I don't want to use it anymore. Im holding on a bit longer hoping they fix this, but chill out with the upgrade push!",Performance,2,"Thanks for your feedback on how the ads come across. Lose It! Premium subscriptions keep Lose It! in business and allow us to make greats products for our members. To provide additional suggestions or for more information, contact us here: reviews@loseit.zendesk.com",
A Google user,Non_Functional,"Good-ish, but has some issues. It says you can adjust calories on the ""daily calorie budget screen"" by using the adjustment field... but that is not possible because there is no adjustment field. No mention that it is only for the premium service... So frustrating. Often gets stuck searching for a food. Some barcode scans can be adjusted which is helpful, but some are juat plain wrong and I cant adjust. Ugh.",Performance,2,,
A Google user,Non_Functional,"I had downloaded this app and loved it! BUT, I changed phones and had to reinstall it and suddenly to track my protein and carbs, I had to upgrade to premium. I kept the app anyways, just to keep track of calories. Didnt use it much, switched to a different one. Out of curiosity one day, I opened it to check if maybe they allowed carb and protein tracking again, and they not only didn't, they had raised the price! No thanks!",Performance,2,,
John Cruz,Non_Functional,"Used this app several years ago to track carbs and meals. Bought the upgraded version even. Extremely annoyed to return to it to discover that most of the useful features (configuring meals per day, carb tracking, etc.) that used to be free are now behind an annual subscription, and no way to just go back to the old version where these things were free. Massively overpriced for annual as well. Greedy. I'll be saying ""nope"".",Usability,2,,
Seth,Non_Functional,"Very simple to use but, it can get a little tricky at times. I think it would be a much better experience if they added some features such as ... 1) CSV import/export for weight, 2) Sync water consumption with Google Fit (for premium users), 3) Add an app for WearOS smartwatches for quick & easy access, 4) Quick add option so it is faster and more convenient than searching for a specific item.",Performance,2,Thank you for taking the time to let us know what you'd like to see us do to make the Lose It! experience better!,
Meredith Haldeman,Non_Functional,"I used this program years ago on my computer and really enjoyed it. I reinstalled it today but I can't use it. I'm legally blind and if I have my font sizes turned up on my phone, it cuts text off Lose it or it still keeps much of the text at a default small size. This is just the lastest in a long line of apps with disappointing or non-existent accessibility features.",Usability,2,We apologize for the trouble you've encountered. Please reach out to us at reviews@loseit.zendesk.com so we can assist you further.,
Evelyn Garcia,Non_Functional,"I have used the Lose It app for 6 years and liked it a lot; however, they have announced that they are going to discontinue the challenges by the end of 2021 because they're not cost-effective. I use this app not only to log my calorie intake and exercise and lose weight but also used the challenges to motivate myself to eat better and get more exercise. Without the benefits of these challenges, this makes the Lose It app just another calorie counter and not worth the money to upgrade to Premium",Performance,2,,
Sara C.,Non_Functional,"I met my goal of losing 22 lbs in a little over five months. I entered everything into the app, and it configured my diet plan perfectly! Update: Been using this app for 5 years. Suddenly, there are tons of ads on the free version. You have to watch a clip after almost every meal you enter. I'd use a different app at this point.",Performance,2,,
A Google user,Non_Functional,"I loved this app. strongly visual and compelling for meal and nutrition tracking for weight loss. i had success! unfortunately it caused my pixel device to malfunction. issues included: No calls in or out, calls would freeze phone, froze and shut down System UI often, inability to play audio or any media, or use the microphone or record audio. i thought it was the phone, but unfortunately it was this app. i would give it more stars but that wasn't my personal experience",Performance,2,"Sorry to hear of the trouble! Please send us an email via loseit.live/help so we can look into whatâ€™s going on here. The more detail you can provide about what exactly you are experiencing (including screen shots if that helps demonstrate the problem) the quicker we'll be able to troubleshoot!

Best,

Savannah",
A Google user,Non_Functional,"The app doesn't allow me to search foods through wifi. I have to use my cellular data to use the search and barcode functions. I have contacted customer support asking for a refund since I pay for premium and they said they had to escalate the problem with absolutely no idea when it would be looked into or fixed. So I'm currently paying for an app that doesn't work properly. If I didn't upgrade to premium it wouldn't be an issue, but if I'm paying for an app I expect it to work.",Performance,2,"Sorry to hear of the trouble! Please send us an email via loseit.live/help so we can look into whatâ€™s going on here. The more detail you can provide about what exactly you are experiencing (including screen shots if that helps demonstrate the problem) the quicker we'll be able to troubleshoot!

Best",
A Google user,Non_Functional,"Basically a less useful version of MyFitnessPal I downloaded this because it was ""editors choice."" I wanted to like it because I find MyFitnessPal really judgemental with all it's terrible nutrition goals and its unalterable color coding. Lose It is definitely more neutral so that's a win. Unfortunately the take a picture of food feature doesn't really work. What I want is something using advanced image recognition to calculate the food and portion size. I expected less. I got even less.",Accuracy,2,,
Vanna Krawczyk,Non_Functional,"If all you want to do is log calories and use the food database it's fine. I paid for a year membership for premium and none of the links for refipies or meal plans worked, so it felt like a rip-off. Fitness tracker integration is limited. Additionally, I was unable to delete an outlier data point from 2011 (9 years ago!) so none of my current goals tracked properly. More frustrating than helpful. Would not recommend for anything beyond calorie counting.",Reliability,2,We apologize for the trouble you've encountered. Please reach out to us at reviews@loseit.zendesk.com so we can assist you further.,
Jeffrey Schunk,Non_Functional,"This was previously a decent app. Updates over the past year have made it almost useless. Bugs introduced recently: App doesn't start the day on today's date, so I have to go back and then forward to begin logging. Calorie counting display for the week no longer works. But the worst is that now every time I enter a food item, the app starts streaming a very loud ad; even with my volume turned off, the ad screams out of my phone's speaker. Annoying at work or at home with others asleep.",Performance,2,,
Mandi Kary,Non_Functional,"I haven't been using it very long, but I like the ease of scanning barcodes for my food. I hate that I can't make my own target calorie goal. I also can't sync my Google watch so if I want the app to consider my workouts, I have to manually try and enter it and that's super annoying. Use this app of you want a free app with a label scanner.",Usability,2,,
Alphax Anon,Non_Functional,"This is a slick, but slow app that's free crippleware. I love the interface and selection of foods. The calorie counts seem about right. But slowness OMG. On my Moto G6 it takes forever to load, and the main screen freezes for about 20-30 seconds while it gets itself ready, even when switching between apps. The usefulness of the free version is crippled, but there's no realistic preview of what we're missing. In this genre, the $39/year premium fee is not expensive but too laggy to pay for.",Performance,2,,
Nicole Copeny,Non_Functional,"It has a good setup, but it calculates calories wrong which is a big deal for a calorie counting app. It took me a minute to figure out why I would come up with different total calories when I would put in macros. The app calculates fats as 4 cal/gram and carbs as 9 cal/gram which is the exact opposite. That's a big mistake, one that really needs to be corrected. I had higher carb meals calculating crazy high calories and high fat meals super low. Hope this helps someone.",Accuracy,2,Sorry for the confusion here! Please reach out to us at reviews@loseit.zendesk.com so we can assist you with this!,
Barbara Ann Miller,Non_Functional,"The LoseIt app used to be great. Up until recently I would have given it 4 or 5 stars. Now I give it only 2 stars. There has been a challenge section on the app where people could sign up for & join weight loss, healthy eating, exercise challenges. These challenges were very motivational. Folks encouraged each other. LoseIt has now decided to discontinue the challenges! So many have voiced their objection to this but LoseIt just does not care. I discontinued my premium membership because of it.",Usability,2,,
A Google user,Non_Functional,"Tracks you and your information just like any other invasive app. Disappointing that you cannot use the barcode scan feature without giving the app full access to your files and media. This hasnt always been the case. Years ago, when I first used Lose It, it didnt require anything but the camera. I understand that you have to get paid, but dang... Just show a commercial based on workout gear or something. You wouldnt even need to collect user data for that.",Usability,2,,
Alicia Clark,Non_Functional,"I liked the free version of the app, so I paid the yearly subscription. I like the ease of use and it definitely helps me keep my macros in check. However, the app is constantly crashing! I've uninstall/reinstalled several times. Not to mention, it seems to mess with some of my phone's functions. Not sure if I will continue to use the app or if I'll just cancel my subscription, delete the app, and move on.",Performance,2,"Sorry to hear of the trouble! Please send us an email via reviews@loseit.zendesk.com so we can look into whatâ€™s going on here. The more detail you can provide about what exactly you are experiencing (including screenshots if that helps demonstrate the problem), the quicker we'll be able to troubleshoot!",
Matt Rottinger,Non_Functional,"After the past 2 updates the recipe logging is borderline unusable as it does not accurately calculate calories per serving because of this. Also, it has started frequently crashing in the background and android is flagging it as a high battery usage app. I loved this to start with as its helped me lose over 50lbs and want to get back to that again.",Performance,2,"Sorry to hear of the trouble! Please send us an email via reviews@loseit.zendesk.com so we can look into whatâ€™s going on here. The more detail you can provide about what exactly you are experiencing (including screenshots if that helps demonstrate the problem), the quicker we'll be able to troubleshoot!",
Denine Attride,Non_Functional,"Bought this app and premium because its supposed to sync with fitbit. Tracking calories is good. But exercise, calorie burn, and water intake are not syncing from fitbit even with a forced sync. This is not what I expected, if I wanted to do double data entry, I could have kept the one I had. Not worth it, wasted the money on a premium feature thst doesnt exist!",Accuracy,2,Sorry for the confusion here! Please reach out to us at reviews@loseit.zendesk.com so we can assist you with this!,
A Google user,Non_Functional,"It was helpful at first so i bought the $30 full version but it never worked for me after that, wouldn't connect to my Fitbit properly. I had to input stuff manually all the time. And it would crash and i would lose my records idk how it happeneded. Many of the food dont even have enough data, I lost all motivation to use it again. I purchased my subscription last June but i dont think i even used it after July. Waste of money. If you're going to use this, just use the free version.",Performance,2,"We apologize for the trouble you've encountered. Please reach out to us at reviews@loseit.zendesk.com so we can assist you further. Best, Sal",
A Google user,Non_Functional,"I installed the app over a year ago. I immediately lost 10 pounds, and another 5 over the first month. I was enthusiastic. I am not fond of the constant pop-up asking me to pay for a premium account. Update:. After using the app for a year and a half, I have uninstall it. The constant pop-ups were annoying, but the last straw was when they made excersize a premium feature. Looking for something new.",Usability,2,"Thanks for your feedback on how the ads come across. Lose It! Premium subscriptions, along with ads, are what keep Lose It! in business and allow us to make greats products for our members. To provide additional suggestions or for more information, contact us here: loseit.live/help",
Alice Cash,Non_Functional,"It works is the best I can say. The interface keeps changing every day, fields disappear and new ones appear elsewhere trying to get you to upgrade. I will hit a field thinking it was the same one as yesterday only to get the big old upgrade here screen. Seriously they either didn't hire a UX designer or found the first one that would accept pay in hot pockets and a subscription to Spotify.",Usability,2,"Thanks for your feedback on how the ads come across. Lose It! Premium subscriptions keep Lose It! in business and allow us to make greats products for our members. To provide additional suggestions or for more information, contact us here: reviews@loseit.zendesk.com",
Mo Sipila,Non_Functional,"I started using this app as an iPhone customer 3 years ago, and it was great. I had a premium subscription and used it a lot. But then I switched to Android before the end of the premium period and found that LoseIt premium wasn't anywhere near as useful on droid, and a lot of features were missing. Now I'm being badgered to upgrade to the now-useless premium every single time I try to log a food, and it's so relentless that I'm ready to delete the app and find another one.",Usability,2,"Thanks for your feedback on how the ads come across. Lose It! Premium subscriptions keep Lose It! in business and allow us to make greats products for our members. To provide additional suggestions or for more information, contact us here: reviews@loseit.zendesk.com",
Kevin Brosnahan,Non_Functional,"Been using this app for years with no problems. Then last week, they add really obtrusive and annoying video ads. Literally anything you do, there's an ad. Hopefully they will reconsider this redesign, which is really annoying. I think they made it annoying on purpose to force you to get the paid version.",Usability,2,,
Scott Berger,Non_Functional,"I love the app but very disappointed in what seems false advertising sale price as $39.99 shows regular and on friends. As I took screen shots of regular price, 25%, and 50% off. The all go to same price point. Other than that I love the app and was going to buy full version until I noticed the sale / non-sale. Also, if it allowed me to pay monthly it would have been even better.",Performance,2,,
A Google user,Non_Functional,I really liked the app at first so I went ahead a purchased the premium year membership. I didn't have access to Premium Content/ features after paying $30 for a premium membership. I even went through several trouble shooting steps with costumer service and nothing worked. Requested a refund. they can take the money out of the account immediately but it takes 2 weeks to put it back. highly unsatisfied. customer service was nice though.,Accuracy,2,,
Laurel McConnell,Non_Functional,It was a good app until they started allowing ads to interrupt everything and force you to watch the ad before you can use the app again. I'm uninstalling it.,Usability,2,,
Amber,Non_Functional,"I bought the premium version to be able to connect to other apps. This feature doesn't work. I've tried to connect this app to Garmin Connect and Strava and they both fail. With Garmin I get an error that Garmin needs to connect to null. Like honestly, how do you miss the name of your own app? It's not a terrible app but definitely don't waste your money on premium. The features don't work like they advertise",Performance,2,,
Jason Mckimpson,Non_Functional,"App is slow and clunky now, didn't used to be. Was supposed to be the replacement for MyFitnessPal but at this point it might be worth it to just pay them instead. Ads after EVERY entry, ridiculous!",Performance,2,,
Melissa Tsyitee,Non_Functional,"Too early to give more than 2 stars, but all the stuff they want you to pay for, they don't realize most people already have that info on other devices. Nice try",Usability,2,,
